web-scraper-order,web-scraper-start-url,link_title,link_title-href,next_page,next_page-href
"1582241793-348","http://bafe.fr","Victimes de cyberharcèlement, elles témoignent","http://www.liberation.fr/france/2016/01/07/victimes-de-cyberharcelement-elles-temoignent_1424844","Page suivante","http://bafe.fr/page/11/"
"1582241822-696","http://bafe.fr","Critique de la culture troll (1)","http://uneheuredepeine.blogspot.pt/2012/09/critique-de-la-culture-troll-1.html?m=1","Page suivante","http://bafe.fr/page/23/"
"1582241820-666","http://bafe.fr","Privés de langue","http://lmsi.net/Prives-de-langue","Page suivante","http://bafe.fr/page/22/"
"1582241827-757","http://bafe.fr","[podcast] Notre société déteste-t-elle les gros ?","https://www.franceinter.fr/emissions/grand-bien-vous-fasse/grand-bien-vous-fasse-21-juin-2017","Page suivante","http://bafe.fr/page/25/"
"1582241766-41","http://bafe.fr","La menstruelle – SOPK, Syndrome des ovaires polykystiques","https://podcast.ausha.co/la-menstruelle/16-sopk-la-menstruelle","",""
"1582241834-867","http://bafe.fr","Islam et « agressions vestimentaires » : le grand emballement des faits divers","http://www.lemonde.fr/les-decodeurs/article/2016/09/09/islam-et-agressions-vestimentaires-le-grand-emballement-des-faits-divers_4995305_4355770.html","Page suivante","http://bafe.fr/page/28/"
"1582241813-597","http://bafe.fr","Laisse Couler.","http://lechodessorcieres.net/laisse-couler/","Page suivante","http://bafe.fr/page/19/"
"1582241837-898","http://bafe.fr","L’utilisation du mot « Black » pour les Noir-e-s de France : une insulte sans nom.","https://penseesenblancscassees.wordpress.com/2015/07/04/lutilisation-du-mot-black-pour-les-noir-e-s-de-france-une-insulte-sans-nom/","Page suivante","http://bafe.fr/page/29/"
"1582241834-851","http://bafe.fr","Les microagressions | Keyholes & Snapshots","https://www.youtube.com/watch?v=vsxmCV8Kr8Q&feature=youtu.be","Page suivante","http://bafe.fr/page/28/"
"1582241839-921","http://bafe.fr","[vidéo] Trans Youth (la jeunesse transgenre)","https://news.vice.com/story/watch-the-full-episode-of-trans-youth-from-vice-on-hbo","Page suivante","http://bafe.fr/page/30/"
"1582241843-968","http://bafe.fr","[vidéo] Un cookie ? : Les hommes ont des besoins naturels","https://youtu.be/aCurEvzz6AM","Page suivante","http://bafe.fr/page/32/"
"1582241818-638","http://bafe.fr","Merci de bien vouloir bander en silence","http://clemmiewonder.tumblr.com/post/13637410208/merci-de-bien-vouloir-bander-en-silence","Page suivante","http://bafe.fr/page/21/"
"1582241825-729","http://bafe.fr","Féminisme islamique: le Coran au féminin","http://www.slate.fr/story/54153/coran-femmes-islam-feministe","Page suivante","http://bafe.fr/page/24/"
"1582241822-695","http://bafe.fr","Ceci n’est pas du second degré","https://fvsch.com/articles/second-degre/","Page suivante","http://bafe.fr/page/23/"
"1582241816-628","http://bafe.fr","La revanche d’une blande","http://www.la-meridienne.info/La-revanche-d-une-blande","Page suivante","http://bafe.fr/page/20/"
"1582241839-930","http://bafe.fr","Critique film, The danish girl","http://www.danstoncinema.fr/critique-film-the-danish-girl/","Page suivante","http://bafe.fr/page/30/"
"1582241771-114","http://bafe.fr","Rendre visible le corps et ses douleurs : les technologies de l’endométriose. Journal d’un diagnostic","https://femtech.hypotheses.org/132","Page suivante","http://bafe.fr/page/3/"
