id,name,created,times_played,last_played
1,Entretien avec Françoise Héritier « La domination masculine est encore partout »,0,0,0
2,Efforts cachés et réflexions déplacées,0,0,0
3,Les inconnus et mon fauteuil : quand je déteste les gens,0,0,0
4,Stop aux idées fausses sur la pauvreté véhiculées par les responsables politiques  #danslavraievie,0,0,0
5,"En Turquie, les femmes défendent leur droit à s’habiller comme elles veulent",0,0,0
6,"Demain, tout commence, d’Hugo Gélin L’indétrônable image du Noir",0,0,0
7,Les confusions entretenues autour de la PMA,0,0,0
8,Respecter les personnes trans,0,0,0
9,"Je suis musulmane et féministe, ne soyez pas surpris !",0,0,0
10,Les garçons ne jouent pas à la poupée,0,0,0
11,"Méduse, Karaba, Sorcière",0,0,0
12,"L’intersectionnalité, nuisible au féminisme ?",0,0,0
13,La question des femmes dans l’espace public,0,0,0
14,Les femmes noires on ne veut pas vous entendre,0,0,0
15,STANDARDS DE BEAUTÉ ET COLORISME,0,0,0
16,The white tourist’s burden / Le fardeau du touriste blanc,0,0,0
17,"Zyed et Bouna : racisme structurel, justice environnementale et pratiques de notre solidarité",0,0,0
18,La notion de victime dans un contexte d’oppression systémique,0,0,0
19,Féministes mais anti-voile : un argumentaire à l’usage du féminisme non-excluant,0,0,0
20,"Conseils juridiques – Violences conjugales, entretien avec une avocate",0,0,0
21,LES 10 IDÉES REÇUES SUR LES GROS-SES,0,0,0
22,POURQUOI ON RESTE ?,0,0,0
23,Jouons au bingo antiraciste!,0,0,0
24,Le grand costaud et la petite chose : représentations des corps masculins et féminins dans le cinéma d’animation contemporain,0,0,0
25,6 questions à une personne atteinte de schizophrénie,0,0,0
26,Donner la parole aux personnes intersexes,0,0,0
27,Ce que les hommes ne comprendront jamais,0,0,0
28,« Va mener les vrais combats ailleurs » dit Mr Vrais Combats.,0,0,0
29,Quelques mots sur l’intersexuation (IS),0,0,0
30,Comment peut-on être musulmane et féministe?,0,0,0
31,"Le « female gaze » dans les séries, un contre-pouvoir révolutionnaire et nécessaire",0,0,0
32,White guys are so proud of their ability not to get offended,0,0,0
33,Je ne serai jamais qu’un allié (et c’est fantastique),0,0,0
34,"POURQUOI, EN TANT QU’HOMME, JE LA FERME LORS DES RÉUNIONS FÉMINISTES",0,0,0
35,[podcast] 7 CHEEK PODCASTS À ÉCOUTER AU MOIS D’AOÛT,0,0,0
36,[podcast] Comment en finir avec le mythe de la virilité?,0,0,0
37,DOIT-ON SE DÉBARRASSER DU MOT “FÉMINISME”?,0,0,0
38,Dossier nouveaux féminismes / Pour elles féminisme et religion ne sont pas incompatibles,0,0,0
39,"GRÂCE À CE GLOSSAIRE, VOUS POURREZ ENFIN DÉCRYPTER UNE CONVERSATION FÉMINISTE",0,0,0
40,"D’UN POINT DE VUE FÉMINISTE, LE PREMIER GOUVERNEMENT DE L’ÈRE MACRON DÉÇOIT DÉJÀ",0,0,0
