id,text,created
1,accessibilité,0
2,accouchement,0
3,afab,0
4,afro descendant-es,0
5,afroféminisme,0
6,agisme,0
7,agression sexuelle,0
8,agressions sexuelles,0
9,Algérie,0
10,alimentation,0
11,allié-es,0
12,allié-es anti-racisme,0
13,allié-es des personnes handicapées / non valides,0
14,allié-es grossophobie,0
15,allié-es lgbtqiaap+,0
16,allié-es non musulman-es,0
17,alliés féminisme,0
18,Anti capitalisme,0
19,anti ivg,0
20,anti racisme,0
21,anti spécisme,0
22,anti voile,0
23,antisémitisme,0
24,antisionisme,0
25,anxieté,0
26,appropriation culturelle,0
27,argument,0
28,arguments anti féministe,0
29,aromantique,0
30,asexualité,0
31,assimilation culturelle,0
32,Association malade/danger,0
33,avortement,0
34,beauté,0
35,Bechdel Test,0
36,beurette,0
37,bigenre,0
38,bingo,0
39,bingo anti-féministe,0
40,biphobie,0
41,bisexualité,0
42,black feminism,0
43,blackface,0
44,blanchité,0
45,blantriarcat,0
46,body positive,0
47,body shaming,0
48,capacitisme,0
49,capitalisme,0
50,catholique,0
51,Charge mentale,0
52,charge raciale,0
53,cheveux,0
54,childfree,0
55,christianisme,0
56,cisgenre,0
57,classisme,0
58,clichés féministes,0
59,clitoris,0
60,colonialisme,0
61,colonisation,0
62,colorblindness,0
63,colorisme,0
64,consentement,0
65,contraception,0
66,controle du corps des femmes,0
67,convergence des luttes,0
68,corps,0
69,Couple hétéro,0
70,couple interracial,0
71,couts de la domination masculine,0
72,culte blancheur,0
73,culture du viol,0
74,culture pédophile,0
75,cyberharcèlement,0
76,cyberviolences,0
77,décolonial,0
78,décolonisation,0
79,Depression,0
80,désir/plaisir féminin,0
81,domination adulte,0
82,domination masculine,0
83,don't touch my hair,0
84,données chiffrées,0
85,drague,0
86,droits des femmes,0
87,dysphorie,0
88,écriture inclusive,0
89,éducation,0
90,Education genrée,0
91,égalité,0
92,endométriose,0
93,enfant,0
94,épilation,0
95,esclavage,0
96,espace de parole,0
97,espace public,0
98,excision,0
99,Exotisation des corps racisés,0
100,expression de genre,0
101,fat acceptance,0
102,fauteuil,0
103,faux féministes,0
104,faux viols,0
105,female gaze,0
106,féminicides,0
107,féminisme,0
108,féminisme blanc,0
109,féminisme civilisationnel,0
110,féminisme décolonial,0
111,féminisme intersectionnel,0
112,Féminisme marketé,0
113,féminisme musulman,0
114,féminisme pro-choix,0
115,féminisme pro-sexe,0
116,féministes musulmanes,0
117,Féminités,0
118,femme,0
119,femmes anti-féministes,0
120,femmes dans l'histoire,0
121,femmes musulmanes,0
122,femmes noires,0
123,femmes roms,0
124,femmes trans,0
125,fémonationalisme,0
126,femvertising,0
127,fétichisation,0
128,films & séries,0
129,friendzone,0
130,garde enfant,0
131,gay,0
132,genre,0
133,genre = construction sociale,0
134,girlfriend zone,0
135,gpa,0
136,grossesse,0
137,Grossophobie,0
138,Guerre d'Algérie,0
139,handicap,0
140,harcélement de rue,0
141,harcèlement sexuel,0
142,haut potentiel,0
143,hétéronormativité,0
144,hétérosexualité,0
145,histoire,0
146,histoire du féminisme,0
147,hommes,0
148,hommes asiatiques,0
149,hommes cis,0
150,Hommes et féminisme,0
151,hommes trans,0
152,homoparentalité,0
153,homophobie,0
154,homosexualité,0
155,homosocialité,0
156,hsbc,0
157,humanitaire,0
158,humour anti-dominant,0
159,humour oppressif,0
160,identité de genre,0
161,impunité des gens célèbres,0
162,inceste,0
163,inégalité,0
164,inégalités,0
165,inégalités de genre,0
166,inégalités salariales,0
167,inégalités structurelles,0
168,injonction,0
169,injonction à la minceur,0
170,injonction à la pédagogie,0
171,injonctions adressées aux femmes,0
172,injonctions de beauté,0
173,insémination artificielle,0
174,insultes oppressives,0
175,internet,0
176,intersectionnalité,0
177,islam,0
178,islamophobie,0
179,ivg,0
180,jeux vidéos,0
181,journée de luttes pour les droits des femmes,0
182,judaisme,0
183,L'HSBC & toi,0
184,LA femme,0
185,langage oppressif,0
186,Langue sexiste,0
187,Leçon de vie / Malgré son handicap,0
188,lesbianisme politique,0
189,lesbiennes,0
190,lesbophobie,0
191,lexique,0
192,lgbtqiaap+,0
193,lgbtqiaap+-phobies,0
194,littérature,0
195,Livres & Bande dessinées,0
196,lutte des classes,0
197,majorité sexuelle,0
198,maladie chronique,0
199,male gaze,0
200,mansplaining,0
201,manspreading,0
202,manterrupting,0
203,mariage pour tous-te,0
204,marketing genré,0
205,masculinistes,0
206,masculinité,0
207,Masculinité hégémonique,0
208,masculinité(s) asiatiques,0
209,masculinité(s) noire(s),0
210,Maternités et non maternités,0
211,médias,0
212,mémoire traumatique,0
213,microagressions,0
214,misandrie,0
215,misogynie,0
216,misogynie internalisée,0
217,misogynoire,0
218,mixité,0
219,musique,0
220,musulmans,0
221,mythe viol,0
222,nappy,0
223,native americans,0
224,neuroatypies,0
225,niafou,0
226,Nice guy,0
227,non binarité,0
228,non mixité,0
229,normes de genre,0
230,not all men,0
231,nudité,0
232,occident,0
233,oppression systèmique,0
234,orientalisme,0
235,orientation romantique,0
